Main_Tag,Page,Symm_Diff
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-next ui-corner-all"" onclick=""DP_jQuery_1565971432877.datepicker._adjustDate(\'#time_date\', +1, \'M\');"" title=""Next"">",_time_viewMyTimesheet,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-next ui-corner-all"" onclick=""DP_jQuery_1565971577370.datepicker._adjustDate(\'#time_date\', +1, \'M\');"" title=""Next"">",_time_viewMyTimesheet,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-prev ui-corner-all"" onclick=""DP_jQuery_1565971432877.datepicker._adjustDate(\'#time_date\', -1, \'M\');"" title=""Prev"">",_time_viewMyTimesheet,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-prev ui-corner-all"" onclick=""DP_jQuery_1565971577370.datepicker._adjustDate(\'#time_date\', -1, \'M\');"" title=""Prev"">",_time_viewMyTimesheet,curr_minus_hist
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker ui-widget ui-widget-content ui-helper-clearfix ui-corner-all"" id=""ui-datepicker-div"" style=""position: fixed; top: 143.5px; left: 602.297px; z-index: 10000; display: block; opacity: 0.109785;"">",_time_viewMyTimesheet,curr_minus_hist
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker ui-widget ui-widget-content ui-helper-clearfix ui-corner-all"" id=""ui-datepicker-div"" style=""position: fixed; top: 143.5px; left: 602.297px; z-index: 10000; display: block; opacity: 0.187379;"">",_time_viewMyTimesheet,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""time__csrf_token"" name=""time[_csrf_token]"" type=""hidden"" value=""cd93fc74a9e3edcdb5a8ef2de5d57895"" />",_time_viewMyTimesheet,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""time__csrf_token"" name=""time[_csrf_token]"" type=""hidden"" value=""f7e5b9bcc3d7cd9d605388da2516197f"" />",_time_viewMyTimesheet,curr_minus_hist
"<html:select xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-month"" onchange=""DP_jQuery_1565971432877.datepicker._selectMonthYear(\'#time_date\', this, \'M\');"">",_time_viewMyTimesheet,hist_minus_curr
"<html:select xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-month"" onchange=""DP_jQuery_1565971577370.datepicker._selectMonthYear(\'#time_date\', this, \'M\');"">",_time_viewMyTimesheet,curr_minus_hist
"<html:select xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-year"" onchange=""DP_jQuery_1565971432877.datepicker._selectMonthYear(\'#time_date\', this, \'Y\');"">",_time_viewMyTimesheet,hist_minus_curr
"<html:select xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-year"" onchange=""DP_jQuery_1565971577370.datepicker._selectMonthYear(\'#time_date\', this, \'Y\');"">",_time_viewMyTimesheet,curr_minus_hist
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" class="" "" onclick=""DP_jQuery_1565971432877.datepicker._selectDay(\'#time_date\',4,2019, this);return false;"">",_time_viewMyTimesheet,hist_minus_curr
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" class="" "" onclick=""DP_jQuery_1565971577370.datepicker._selectDay(\'#time_date\',4,2019, this);return false;"">",_time_viewMyTimesheet,curr_minus_hist
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" class="" ui-datepicker-days-cell-over  ui-datepicker-current-day"" onclick=""DP_jQuery_1565971432877.datepicker._selectDay(\'#time_date\',4,2019, this);return false;"">",_time_viewMyTimesheet,hist_minus_curr
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" class="" ui-datepicker-days-cell-over  ui-datepicker-current-day"" onclick=""DP_jQuery_1565971577370.datepicker._selectDay(\'#time_date\',4,2019, this);return false;"">",_time_viewMyTimesheet,curr_minus_hist
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" class="" ui-datepicker-week-end ui-state-daysoff-weekend"" onclick=""DP_jQuery_1565971432877.datepicker._selectDay(\'#time_date\',4,2019, this);return false;"">",_time_viewMyTimesheet,hist_minus_curr
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" class="" ui-datepicker-week-end ui-state-daysoff-weekend"" onclick=""DP_jQuery_1565971577370.datepicker._selectDay(\'#time_date\',4,2019, this);return false;"">",_time_viewMyTimesheet,curr_minus_hist
